Wula_Intro_Spy_UI_1.characterName	未知通讯
Wula_Intro_Spy_UI_1.descriptions	殖民地的居民们，这里是乌拉帝国舰队。我们有一个临时请求，现在需要你们的协助。

我们的一名情报密探在执行侦察任务时暴露了身份，正遭到敌对势力的追捕。这名密探手无寸铁，但携带着至关重要的战略信息——我们需要你们提供临时庇护，保护密探安全直到我们的穿梭机抵达。作为交换，我们将提供相应的报酬，并在未来考虑与你们建立更正式的关系。
Wula_Intro_Spy_UI_1.label	未知通讯
Wula_Intro_Spy_UI_1.options.0.label	你们是谁？
Wula_Intro_Spy_UI_1.options.1.label	我们能得到什么好处？
Wula_Intro_Spy_UI_1.options.2.label	好的，我们会留意的
Wula_Intro_Spy_UI_2.characterName	未知通讯
Wula_Intro_Spy_UI_2.descriptions	我们是乌拉帝国开发署的先遣力量——行星封锁机关P.I.A，负责控制调度帝国在你们星球轨道上的先锋舰队。

帝国开发署的使命是在银河系中寻找有价值的殖民地并进行整合。我们不是来摧毁你们的，而是来建立秩序。

这次请求是试探你们合作意愿的机会。如果你们证明了自己值得信任，未来可能会有更多互惠互利的机会。拒绝合作不会带来任何好处，但合作可能会为你们在这个危险星球上的生存带来转机。
Wula_Intro_Spy_UI_2.label	未知通讯
Wula_Intro_Spy_UI_2.options.0.label	还有别的事情···
Wula_Intro_Spy_UI_3.characterName	未知通讯
Wula_Intro_Spy_UI_3.descriptions	务实的问题。成功的合作将为你们带来：

1. 技术数据访问权限 - 有限度地开放部分基础科技信息
2. 舰队调度许可 - 我们将允许你们获得一份植入物，使你们的一名殖民者获得向帝国舰队发送信号请求炮击增援、空投、战机近地支援等能力
3. 政治考量加分 - 在帝国对你们星球的最终评估中获得正面评价

记住，这只是一个开始。乌拉帝国对待合作伙伴的态度取决于他们的表现。如果这次任务顺利完成，更多实质性的利益将会随之而来。
Wula_Intro_Spy_UI_3.label	未知通讯
Wula_Intro_Spy_UI_3.options.0.label	还有别的事情···
Wula_Intro_Spy_UI_End_1.characterName	未知通讯
Wula_Intro_Spy_UI_End_1.descriptions	任务完成。你们的合作态度令人满意。密探已安全撤离，携带的情报将对帝国在你们星球上的行动规划起到关键作用。

作为对你们协助的回报，我们向你们提供以下技术资产：

1. 乌拉帝国技术系统接入许可 - 允许你们访问初步访问乌拉帝国的数据库

2. 神经链接植入物 - 使一名殖民者能够直接与我们舰队建立通讯连接，可请求轨道支援

3. 通讯终端 - 一套专用通讯设备，用于和乌拉帝国舰队生产设施进行通讯以下达订单——如果你们需要一些别的帮助，也可以通过这个通讯台联络我

这些只是开始。如果你们继续证明自己的价值，更多先进的帝国技术将会向你们开放。记住，合作是双向的——我们对忠诚的合作伙伴从不吝啬。
Wula_Intro_Spy_UI_End_1.dismissEffects.0.effects.0.message	来自乌拉帝国的谢礼已抵达，此外，乌拉帝国科技树已经开放
Wula_Intro_Spy_UI_End_1.dismissEffects.0.effects.1.letterLabel	空投建筑
Wula_Intro_Spy_UI_End_1.dismissEffects.0.effects.1.letterText	乌拉帝国的空投建筑正在路上，注意落点！
Wula_Intro_Spy_UI_End_1.label	未知通讯
Wula_Intro_Spy_UI_End_1.options.0.label	我们好像还不知道你的名字？
